Transaction_Date,Drug_Name,Category,Quantity_Sold,Stock_On_Hand,Expiry_Date,Unit_Cost,Supplier
2023-03-25,Tab Glibenclamide 5ml/250mg,Anti-Diabetic,34,163,2028-11-04,503,MegaCare
2023-12-16,Gutt Diazepam 1g,Specialty/Emergency,23,181,2028-06-28,651,Fidson
2025-03-14,Susp Quinine 1%,Anti-Malaria,24,175,2028-06-15,772,Fidson
2025-11-30,Ear Drops Insulin (Soluble) 20mg,Anti-Diabetic,2,185,2028-07-22,521,Emzor
2023-03-13,Oin Hydralazine 5mg,Anti-Hypertensive,32,117,2027-07-31,137,MegaCare
2023-09-25,Ear Drops Magnesium Trisilicate 10mg,Anti-Ulcer,26,106,2026-11-13,606,Emzor
2023-08-03,Urinalysis Strip (10ml),Lab/Reagents,10,194,2027-06-19,445,GSK
2023-06-09,Syrup Oxytocin 100mg,Specialty/Emergency,35,172,2027-08-26,707,Emzor
2024-02-26,Cap Azithromycin 5ml/250mg,Antibiotics,47,190,2026-09-11,229,GSK
2023-01-11,Urinalysis Strip (5ml),Lab/Reagents,24,171,2028-05-01,402,Swiss Pharma
2024-05-01,Hepatitis B Strip (Size 7.5),Lab/Reagents,42,187,2027-05-17,602,MegaCare
2023-08-03,Susp Diclofenac 5ml/125mg,Analgesics,20,182,2026-11-17,633,Swiss Pharma
2024-01-01,Inh Chloramphenicol 500mg,Drops/Topicals,49,120,2027-10-29,739,Fidson
2025-05-21,Gutt Oxytocin 250mg,Specialty/Emergency,21,103,2028-10-31,392,Juhel
2026-01-20,Inh Metronidazole Infusion 5ml/250mg,IV Fluids,13,34,2028-12-29,693,GSK
2024-11-13,Cap Tramadol 100mg,Analgesics,18,138,2028-06-19,579,Emzor
2023-05-21,Oin Metformin 5ml/125mg,Anti-Diabetic,43,189,2027-09-24,833,Emzor
2023-10-19,Inj Metronidazole 2g,Antibiotics,25,29,2025-08-14,845,Fidson
2023-09-18,Inh Azithromycin 250mg,Antibiotics,24,157,2026-12-13,630,Emzor
2025-04-09,Inf Metronidazole Infusion 1g,IV Fluids,42,171,2028-12-07,417,Swiss Pharma
2025-11-20,Oin Azithromycin 5ml/250mg,Antibiotics,8,129,2026-09-10,759,Juhel
2023-08-25,Syrup Ciprofloxacin 250mg,Antibiotics,17,141,2028-06-15,483,Swiss Pharma
2024-08-24,Inh Omeprazole 2g,Anti-Ulcer,27,47,2028-08-17,774,Fidson
2024-12-26,HIV Kit (2ml),Lab/Reagents,10,106,2028-03-06,630,Fidson
2023-03-22,Cap Metformin 10mg,Anti-Diabetic,1,118,2026-12-05,247,Juhel
2024-01-06,Syrup Insulin (Soluble) 5ml/125mg,Anti-Diabetic,42,48,2028-08-07,578,MegaCare
2024-01-12,Oin Artemether/Lumefantrine 5mg,Anti-Malaria,22,175,2028-04-27,870,Emzor
2025-07-19,Inj Esomeprazole 250mg,Anti-Ulcer,18,131,2027-03-06,785,Juhel
2024-04-23,Inh Losartan 0.5%,Anti-Hypertensive,5,198,2026-11-18,841,Emzor
2025-02-15,Oin Hydralazine 5ml/250mg,Anti-Hypertensive,21,176,2027-11-29,576,Swiss Pharma
2024-03-12,Inf Metformin 250mg,Anti-Diabetic,47,100,2026-10-19,954,GSK
2025-07-25,Inf Insulin (Mixed) 2g,Anti-Diabetic,38,145,2026-11-13,881,Fidson
2023-05-11,Inf Ibuprofen 20mg,Analgesics,48,120,2027-03-16,846,Juhel
2025-01-21,Ear Drops Gentamicin 5ml/250mg,Drops/Topicals,8,100,2028-11-27,352,Juhel
2023-03-17,Ear Drops Metronidazole Infusion 2g,IV Fluids,35,46,2028-09-23,214,Swiss Pharma
2023-12-28,Syrup Cimetidine 5ml/250mg,Anti-Ulcer,30,102,2028-11-24,791,MegaCare
2025-04-01,Inh Ketamine 1%,Specialty/Emergency,34,154,2028-12-29,985,Emzor
2024-05-13,Syrup Lisinopril 0.5%,Anti-Hypertensive,49,176,2028-01-09,937,Emzor
2026-01-12,Tab Adrenaline 5ml/125mg,Specialty/Emergency,22,194,2027-11-24,292,Emzor
2025-01-26,Inj Adrenaline 20mg,Specialty/Emergency,26,148,2028-08-27,156,MegaCare
2025-08-30,Inh Ciprofloxacin 50mg,Drops/Topicals,16,163,2027-05-03,667,Emzor
2025-04-22,Malaria RDT (Pack of 50),Lab/Reagents,40,166,2027-01-10,942,Fidson
2023-08-22,HIV Kit (Pack of 50),Lab/Reagents,3,170,2026-04-09,893,Emzor
2025-03-01,Inf Amlodipine 250mg,Anti-Hypertensive,34,183,2027-05-14,237,Juhel
2026-03-20,Susp Gentamicin 10mg,Drops/Topicals,38,109,2028-03-06,132,Juhel
2024-04-14,Tab Insulin (Mixed) 1%,Anti-Diabetic,10,109,2027-04-08,432,Swiss Pharma
2024-08-02,Inj Metronidazole Infusion 1g,IV Fluids,42,174,2027-01-06,763,MegaCare
2025-02-11,Cap Esomeprazole 10mg,Anti-Ulcer,4,154,2027-10-26,365,Juhel
2024-05-17,Susp Atropine 250mg,Specialty/Emergency,31,170,2028-10-08,245,GSK
2023-08-17,Syrup Clindamycin 0.5%,Antibiotics,35,156,2028-01-12,844,Emzor
2025-11-04,Inf Ciprofloxacin 50mg,Drops/Topicals,22,110,2028-03-22,592,Juhel
2025-10-09,Tab Esomeprazole 250mg,Anti-Ulcer,11,165,2028-09-02,351,MegaCare
2024-10-07,Cap Ringers Lactate 5ml/125mg,IV Fluids,30,142,2027-09-18,839,MegaCare
2025-09-03,Inh Azithromycin 10mg,Antibiotics,1,114,2027-05-05,256,GSK
2025-09-06,Susp Cimetidine 250mg,Anti-Ulcer,30,147,2026-01-13,170,GSK
2024-07-06,Inj Esomeprazole 20mg,Anti-Ulcer,30,155,2027-08-07,719,Emzor
2025-04-07,Syrup Losartan 250mg,Anti-Hypertensive,15,184,2027-10-25,447,Fidson
2024-01-29,Ear Drops Silver Sulphadiazine 100mg,Drops/Topicals,16,43,2026-03-25,143,MegaCare
2025-12-06,Cap Sulfadoxine/Pyrimethamine 0.5%,Anti-Malaria,50,105,2026-02-09,586,Juhel
2023-06-14,Oin Dextrose 5% 5ml/125mg,IV Fluids,21,183,2027-01-16,417,Fidson
2024-05-15,Oin Lisinopril 2g,Anti-Hypertensive,32,166,2026-10-19,162,MegaCare
2023-08-23,Inj Ibuprofen 5mg,Analgesics,6,199,2026-08-08,694,Swiss Pharma
2025-04-01,Inj Amlodipine 2g,Anti-Hypertensive,33,136,2027-02-02,248,Fidson
2025-09-13,Susp Ceftriaxone 1%,Antibiotics,27,135,2027-02-08,950,Swiss Pharma
2023-03-20,Syrup Metformin 5ml/125mg,Anti-Diabetic,31,159,2028-02-02,159,Fidson
2025-05-14,Gutt Quinine 0.5%,Anti-Malaria,15,114,2028-01-12,335,Swiss Pharma
2023-07-31,Inh Ciprofloxacin 500mg,Drops/Topicals,46,122,2026-12-27,213,Juhel
2025-07-12,Ear Drops Ibuprofen 100mg,Analgesics,14,146,2028-01-12,726,Juhel
2023-01-07,Inh Nifedipine 1%,Anti-Hypertensive,30,109,2028-12-06,143,MegaCare
2023-11-16,Inj Insulin (Mixed) 500mg,Anti-Diabetic,21,109,2027-01-21,888,Swiss Pharma
2023-11-14,Syrup Chloramphenicol 500mg,Drops/Topicals,27,151,2028-06-27,864,Juhel
2023-09-13,Inh Quinine 100mg,Anti-Malaria,14,122,2028-09-18,327,Swiss Pharma
2023-06-08,IV Cannula (10ml),Surgicals,2,134,2028-09-06,801,Fidson
2025-12-18,Ear Drops Azithromycin 1%,Antibiotics,42,181,2026-05-25,545,GSK
2023-08-25,Inf Cimetidine 1%,Anti-Ulcer,18,151,2028-12-23,720,Emzor
2026-03-31,Oin Omeprazole 0.5%,Anti-Ulcer,14,183,2028-12-13,980,Fidson
2023-04-09,HIV Kit (Size 7.0),Lab/Reagents,16,165,2027-01-12,392,Juhel
2023-03-31,Surgical Gloves (Pack of 50),Surgicals,25,138,2026-12-22,726,MegaCare
2025-01-20,Gutt Magnesium Trisilicate 50mg,Anti-Ulcer,36,156,2027-05-28,766,Juhel
2023-08-30,Ear Drops Glibenclamide 100mg,Anti-Diabetic,21,135,2027-01-26,174,Emzor
2025-11-25,Oin Propofol 2g,Specialty/Emergency,2,140,2027-03-17,852,Emzor
2023-07-09,Cotton Wool (10ml),Surgicals,25,140,2028-08-14,854,Juhel
2025-07-04,Susp Nifedipine 0.5%,Anti-Hypertensive,30,177,2027-04-27,767,Fidson
2023-02-21,Inj Tramadol 0.5%,Analgesics,40,195,2027-02-14,901,Emzor
2025-01-25,Tab Ibuprofen 1g,Analgesics,31,175,2026-11-08,734,MegaCare
2025-12-25,Syrup Artesunate 1g,Anti-Malaria,34,14,2027-04-06,381,Emzor
2025-11-23,Gutt Losartan 10mg,Anti-Hypertensive,7,127,2028-11-06,799,Fidson
2023-06-30,Susp Chloramphenicol 100mg,Drops/Topicals,1,156,2028-04-17,413,GSK
2024-06-28,Cap Insulin (Soluble) 5ml/125mg,Anti-Diabetic,16,177,2028-03-26,286,Juhel
2025-01-21,Tab Sulfadoxine/Pyrimethamine 100mg,Anti-Malaria,44,140,2027-05-14,865,Juhel
2023-08-12,Susp Normal Saline 500mg,IV Fluids,2,104,2028-03-06,937,GSK
2025-12-25,Inj Sulfadoxine/Pyrimethamine 0.5%,Anti-Malaria,41,26,2027-09-29,157,Juhel
2025-02-16,Gutt Glimepiride 10mg,Anti-Diabetic,35,177,2028-06-26,219,MegaCare
2023-09-09,Inj Morphine 5ml/250mg,Analgesics,46,177,2027-08-09,236,Emzor
2024-08-29,Inh Insulin (Soluble) 2g,Anti-Diabetic,34,184,2027-07-04,267,Swiss Pharma
2023-05-19,Syrup Clindamycin 20mg,Antibiotics,10,164,2026-12-01,188,GSK
2023-06-10,Inj Morphine 1g,Analgesics,14,192,2028-06-24,508,GSK
2025-07-23,Cap Diazepam 5ml/250mg,Specialty/Emergency,9,176,2027-07-18,775,GSK
2025-09-07,Inf Esomeprazole 50mg,Anti-Ulcer,20,196,2026-09-14,194,Emzor
2025-12-22,Cap Atropine 10mg,Specialty/Emergency,22,126,2026-10-26,951,Fidson
2024-03-02,Susp Normal Saline 0.5%,IV Fluids,26,186,2028-12-26,929,GSK
2024-10-30,Syrup Normal Saline 10mg,IV Fluids,31,118,2026-12-21,590,Fidson
2024-02-07,Tab Hydrocortisone 5mg,Drops/Topicals,10,165,2027-03-11,707,GSK
2026-01-21,Inj Pentazocine 100mg,Analgesics,48,113,2027-11-17,604,Swiss Pharma
2025-07-17,Susp Methyldopa 10mg,Anti-Hypertensive,28,193,2028-08-12,837,Swiss Pharma
2023-01-04,Gutt Metformin 2g,Anti-Diabetic,38,110,2028-04-13,879,Fidson
2025-12-09,Oin Artesunate 250mg,Anti-Malaria,10,153,2028-09-22,364,Swiss Pharma
2024-10-25,Tab Silver Sulphadiazine 5ml/125mg,Drops/Topicals,48,186,2027-12-25,491,MegaCare
2025-01-29,Susp Atropine 50mg,Specialty/Emergency,12,154,2027-03-03,758,GSK
2026-01-22,Ear Drops Ketamine 1%,Specialty/Emergency,40,118,2027-12-03,872,MegaCare
2025-02-05,Cap Diazepam 10mg,Specialty/Emergency,32,151,2028-08-06,919,Emzor
2023-10-07,Susp Lisinopril 10mg,Anti-Hypertensive,46,177,2026-12-07,122,Swiss Pharma
2025-05-10,Susp Methyldopa 0.5%,Anti-Hypertensive,30,174,2027-09-08,168,Juhel
2024-08-28,Inh Glimepiride 1g,Anti-Diabetic,47,105,2026-11-05,454,Fidson
2025-08-13,Gutt Ringers Lactate 5ml/125mg,IV Fluids,17,158,2027-10-24,600,Swiss Pharma
2025-12-03,Ear Drops Esomeprazole 2g,Anti-Ulcer,23,183,2028-09-12,759,MegaCare
2023-07-23,Inf Quinine 5ml/250mg,Anti-Malaria,8,199,2026-11-21,243,Juhel
2026-02-14,Tab Azithromycin 5ml/125mg,Antibiotics,23,157,2027-10-08,781,MegaCare
2025-08-12,Inf Atropine 10mg,Specialty/Emergency,28,192,2027-02-10,114,Swiss Pharma
2023-12-12,Inf Gentamicin 2g,Drops/Topicals,39,121,2026-10-21,388,Fidson
2025-03-02,Inf Ibuprofen 2g,Analgesics,2,171,2026-04-12,192,Emzor
2023-09-11,Ear Drops Quinine 20mg,Anti-Malaria,24,155,2028-05-02,597,Fidson
2023-04-24,Oin Insulin (Soluble) 20mg,Anti-Diabetic,11,135,2026-12-21,366,Fidson
2026-01-16,Ear Drops Losartan 2g,Anti-Hypertensive,45,189,2028-03-10,482,Swiss Pharma
2023-08-22,Inj Esomeprazole 50mg,Anti-Ulcer,5,102,2028-02-19,762,Fidson
2023-07-05,Syrup Diazepam 100mg,Specialty/Emergency,49,191,2027-01-02,543,MegaCare
2024-12-11,Inh Gentamicin 50mg,Drops/Topicals,9,146,2027-05-28,690,Swiss Pharma
2025-10-26,Gutt Ibuprofen 10mg,Analgesics,14,157,2027-05-09,819,Fidson
2024-07-05,Ear Drops Tramadol 5ml/250mg,Analgesics,47,159,2027-02-22,108,Swiss Pharma
2023-11-10,Inj Normal Saline 250mg,IV Fluids,6,100,2025-07-27,627,GSK
2023-08-18,Tab Diazepam 5ml/125mg,Specialty/Emergency,1,156,2028-07-04,564,GSK
2024-02-26,Ear Drops Nifedipine 50mg,Anti-Hypertensive,20,40,2027-09-26,903,MegaCare
2025-01-10,Ear Drops Gentamicin 0.5%,Antibiotics,47,113,2027-08-14,542,Emzor
2025-03-14,Inh Methyldopa 10mg,Anti-Hypertensive,4,152,2027-10-21,234,Juhel
2024-09-11,Tab Chloramphenicol 50mg,Drops/Topicals,30,143,2028-05-19,922,GSK
2023-01-09,Ear Drops Paracetamol 5ml/250mg,Analgesics,29,183,2027-02-19,551,GSK
2023-08-31,Inf Atropine 1%,Specialty/Emergency,12,173,2026-10-04,284,Swiss Pharma
2024-02-05,Tab Esomeprazole 100mg,Anti-Ulcer,18,110,2028-01-05,761,Swiss Pharma
2023-12-22,Surgical Gloves (Size 7.0),Surgicals,32,177,2028-04-10,904,Swiss Pharma
2025-07-06,Cotton Wool (Size 7.0),Surgicals,20,42,2028-12-18,786,Juhel
2024-08-01,Cap Losartan 5ml/125mg,Anti-Hypertensive,18,161,2028-08-11,345,Juhel
2025-09-26,Oin Artemether/Lumefantrine 10mg,Anti-Malaria,48,132,2028-12-16,189,Swiss Pharma
2024-11-19,Inh Amoxicillin 20mg,Antibiotics,8,124,2025-09-12,382,MegaCare
2024-02-19,Syrup Clindamycin 5ml/125mg,Antibiotics,22,19,2028-11-30,549,Swiss Pharma
2024-03-19,Inj Glibenclamide 5mg,Anti-Diabetic,42,24,2026-11-20,720,MegaCare
2025-01-19,Syrup Esomeprazole 1g,Anti-Ulcer,2,177,2026-05-04,227,Emzor
2026-02-19,Gutt Hydralazine 50mg,Anti-Hypertensive,28,100,2027-10-21,663,GSK
2025-11-15,Ear Drops Nifedipine 5ml/125mg,Anti-Hypertensive,50,32,2027-03-28,654,Juhel
2024-04-26,Susp Amlodipine 250mg,Anti-Hypertensive,38,106,2027-11-16,422,Fidson
2024-04-06,Inh Propofol 5ml/125mg,Specialty/Emergency,10,168,2028-05-26,846,Emzor
2024-11-14,Cap Hydralazine 1%,Anti-Hypertensive,34,194,2027-12-09,550,Fidson
2024-06-20,Syrup Hydrocortisone 0.5%,Drops/Topicals,20,108,2028-07-28,528,Juhel
2025-06-30,Oin Amlodipine 50mg,Anti-Hypertensive,7,181,2028-07-27,641,Juhel
2025-02-28,Tab Artesunate 50mg,Anti-Malaria,47,108,2028-12-20,351,Juhel
2024-07-16,Cap Insulin (Soluble) 5ml/250mg,Anti-Diabetic,10,164,2027-02-01,557,Juhel
2023-11-12,Face Mask (2ml),Surgicals,40,183,2028-12-27,946,Fidson
2025-03-27,Gutt Ringers Lactate 5ml/250mg,IV Fluids,36,183,2027-08-27,490,Juhel
2023-03-03,Gutt Ketamine 0.5%,Specialty/Emergency,21,187,2027-03-26,752,GSK
2024-02-17,Ear Drops Pentazocine 5ml/125mg,Analgesics,33,161,2026-06-18,620,Emzor
2024-04-14,Ear Drops Ciprofloxacin 100mg,Antibiotics,31,177,2027-11-14,457,MegaCare
2025-01-27,Gutt Ceftriaxone 2g,Antibiotics,15,125,2026-12-04,266,GSK
2023-04-04,Inj Hydrocortisone 0.5%,Drops/Topicals,20,128,2027-06-04,710,Fidson
2023-09-04,Susp Ceftriaxone 50mg,Antibiotics,16,10,2027-07-23,363,Swiss Pharma
2024-12-18,Inf Glimepiride 1%,Anti-Diabetic,37,150,2028-07-14,227,Fidson
2023-12-14,Gutt Diclofenac 1g,Analgesics,28,170,2027-10-01,194,Emzor
2024-07-18,Cap Quinine 500mg,Anti-Malaria,9,171,2028-05-21,585,Emzor
2024-02-13,Oin Metronidazole 100mg,Antibiotics,22,113,2027-07-30,809,Swiss Pharma
2023-05-19,Tab Azithromycin 2g,Antibiotics,8,164,2028-06-09,248,Emzor
2023-09-02,Oin Metronidazole Infusion 10mg,IV Fluids,49,150,2028-04-30,221,Fidson
2023-02-10,Inf Clindamycin 2g,Antibiotics,20,148,2027-07-17,261,MegaCare
2025-11-18,Tab Amoxicillin 1g,Antibiotics,29,182,2026-07-30,980,Swiss Pharma
2025-04-20,Inf Glimepiride 10mg,Anti-Diabetic,33,130,2025-04-23,596,Swiss Pharma
2023-06-04,Syrup Metronidazole Infusion 2g,IV Fluids,38,21,2028-05-28,754,GSK
2024-04-12,Gutt Lisinopril 10mg,Anti-Hypertensive,6,199,2026-12-07,280,Juhel
2025-08-22,Syrup Atropine 5ml/250mg,Specialty/Emergency,10,200,2027-04-10,589,Swiss Pharma
2023-08-01,Inj Omeprazole 5mg,Anti-Ulcer,8,175,2027-09-24,159,Juhel
2025-08-11,Urinalysis Strip (Pack of 50),Lab/Reagents,12,195,2025-09-25,964,MegaCare
2025-04-13,Syrup Dextrose 5% 250mg,IV Fluids,19,189,2028-10-31,873,Juhel
2024-09-27,Inf Hydrocortisone 250mg,Drops/Topicals,37,199,2026-10-13,108,GSK
2024-05-02,Susp Losartan 0.5%,Anti-Hypertensive,44,166,2027-01-09,251,Juhel
2025-10-30,Gutt Clindamycin 2g,Antibiotics,26,49,2027-12-31,355,Emzor
2023-10-23,Cap Silver Sulphadiazine 0.5%,Drops/Topicals,24,186,2027-12-27,403,Swiss Pharma
2025-09-01,Syrup Ketamine 100mg,Specialty/Emergency,29,151,2028-08-04,293,Emzor
2023-01-30,Ear Drops Cimetidine 50mg,Anti-Ulcer,48,121,2027-02-17,494,GSK
2024-07-03,Susp Magnesium Trisilicate 250mg,Anti-Ulcer,9,114,2027-06-25,957,GSK
2024-09-22,Gutt Ketamine 5ml/125mg,Specialty/Emergency,17,136,2027-10-29,912,GSK
2024-04-02,Tab Hydralazine 2g,Anti-Hypertensive,49,104,2027-06-27,895,Emzor
2023-02-09,Syrup Metronidazole Infusion 500mg,IV Fluids,14,133,2028-01-26,530,Juhel
2024-02-20,Inj Chloramphenicol 5ml/250mg,Drops/Topicals,34,200,2028-12-29,488,Emzor
2025-01-22,Ear Drops Methyldopa 0.5%,Anti-Hypertensive,18,175,2026-11-24,370,Fidson
2023-07-29,Inf Paracetamol 1g,Analgesics,12,137,2028-03-21,876,Emzor
2024-04-22,Susp Ketamine 1g,Specialty/Emergency,48,117,2027-04-20,696,Swiss Pharma
2023-04-16,Susp Morphine 2g,Analgesics,13,134,2025-06-23,626,MegaCare
2025-04-03,Syrup Ranitidine 500mg,Anti-Ulcer,33,116,2027-11-19,903,Fidson
2024-09-23,Oin Glibenclamide 20mg,Anti-Diabetic,18,150,2028-07-08,814,GSK
2026-01-14,Syringe (5ml),Surgicals,18,105,2028-11-24,376,Fidson
2023-08-13,Inh Diazepam 50mg,Specialty/Emergency,17,169,2028-10-02,311,MegaCare
2024-02-02,Tab Clindamycin 0.5%,Antibiotics,49,180,2027-01-08,796,Emzor
2025-01-16,Susp Gentamicin 2g,Drops/Topicals,19,121,2027-08-03,762,Emzor
2024-03-22,Tab Ceftriaxone 0.5%,Antibiotics,48,152,2028-07-19,156,Swiss Pharma
2025-01-08,Inj Esomeprazole 1%,Anti-Ulcer,37,149,2028-05-17,912,GSK
2023-03-08,Ear Drops Paracetamol 250mg,Analgesics,10,109,2028-06-24,586,Juhel
2023-10-31,Tab Glibenclamide 5mg,Anti-Diabetic,40,170,2028-02-20,413,Swiss Pharma
2025-03-14,Susp Ciprofloxacin 5ml/250mg,Drops/Topicals,8,37,2028-12-23,666,MegaCare
2024-11-30,Urinalysis Strip (Roll),Lab/Reagents,31,185,2027-11-20,470,Swiss Pharma
2024-06-30,Tab Gentamicin 1%,Drops/Topicals,41,179,2028-02-28,571,MegaCare
2023-02-28,Susp Nifedipine 250mg,Anti-Hypertensive,11,145,2027-05-10,435,Juhel
2026-03-22,Hepatitis B Strip (Roll),Lab/Reagents,29,196,2027-04-11,351,Swiss Pharma
2026-03-23,Inj Hydrocortisone 2g,Drops/Topicals,4,182,2027-12-25,674,Fidson
2023-08-16,Oin Artesunate 500mg,Anti-Malaria,44,194,2026-02-16,102,MegaCare
2023-06-24,Oin Diazepam 20mg,Specialty/Emergency,9,157,2028-09-27,441,Emzor
2026-01-11,Ear Drops Gentamicin 20mg,Drops/Topicals,23,32,2028-02-06,698,Emzor
2024-07-13,Ear Drops Hydralazine 100mg,Anti-Hypertensive,35,131,2025-09-14,236,MegaCare
2026-01-24,Ear Drops Ceftriaxone 50mg,Antibiotics,8,162,2028-09-21,417,Fidson
2025-10-25,Inf Insulin (Mixed) 100mg,Anti-Diabetic,33,195,2027-01-02,226,Fidson
2023-03-26,Inh Artesunate 250mg,Anti-Malaria,17,123,2028-09-06,623,GSK
2023-07-24,Tab Oxytocin 1%,Specialty/Emergency,10,193,2026-10-10,257,Juhel
2025-12-29,Gutt Metformin 20mg,Anti-Diabetic,33,183,2027-09-02,884,MegaCare
2024-06-01,Malaria RDT (Size 7.0),Lab/Reagents,35,161,2026-05-09,861,Fidson
2025-08-19,Inh Omeprazole 100mg,Anti-Ulcer,25,142,2026-12-20,627,Juhel
2024-09-28,Tab Artesunate 100mg,Anti-Malaria,50,166,2027-05-25,652,MegaCare
2025-05-19,Syrup Normal Saline 500mg,IV Fluids,36,124,2028-05-01,482,MegaCare
2023-05-19,Ear Drops Oxytocin 2g,Specialty/Emergency,43,151,2028-08-19,390,Juhel
2023-04-23,Syrup Hydralazine 2g,Anti-Hypertensive,16,168,2028-02-01,273,Swiss Pharma
2025-09-04,Syrup Esomeprazole 10mg,Anti-Ulcer,12,183,2026-12-18,493,Fidson
2025-02-15,Inj Diazepam 5mg,Specialty/Emergency,9,121,2028-03-10,683,GSK
2024-09-25,Susp Propofol 1%,Specialty/Emergency,42,143,2026-10-09,481,Fidson
2025-11-11,Gutt Amoxicillin 250mg,Antibiotics,5,192,2028-07-17,118,Fidson
2025-06-25,Cap Silver Sulphadiazine 500mg,Drops/Topicals,24,109,2026-12-23,235,MegaCare
2025-07-13,Gutt Gentamicin 500mg,Drops/Topicals,19,134,2027-12-17,592,Juhel
2023-01-30,Susp Omeprazole 20mg,Anti-Ulcer,28,130,2027-02-01,518,GSK
2023-06-19,Gutt Pentazocine 1g,Analgesics,42,112,2028-07-28,365,Fidson
2024-01-02,Ear Drops Hydrocortisone 250mg,Drops/Topicals,31,125,2026-06-02,973,Swiss Pharma
2025-05-28,Inh Dextrose Saline 5ml/125mg,IV Fluids,23,180,2027-12-09,835,Emzor
2023-10-25,Cap Metronidazole 250mg,Antibiotics,23,163,2027-03-19,802,MegaCare
2024-10-15,Cap Metronidazole 2g,Antibiotics,42,171,2027-05-09,872,Juhel
2023-08-10,Oin Ciprofloxacin 10mg,Antibiotics,7,148,2027-07-18,816,Swiss Pharma
2023-10-05,Inj Propofol 20mg,Specialty/Emergency,2,134,2027-08-06,734,Fidson
2023-10-17,Gutt Ibuprofen 500mg,Analgesics,3,102,2028-06-20,344,Emzor
2023-05-14,Tab Quinine 1%,Anti-Malaria,8,8,2028-12-07,252,Emzor
2025-11-07,Ear Drops Gentamicin 2g,Drops/Topicals,21,113,2027-10-28,821,Juhel
2023-03-25,Inj Lisinopril 5ml/250mg,Anti-Hypertensive,10,111,2028-10-10,991,GSK
2024-01-02,Tab Paracetamol 10mg,Analgesics,5,38,2028-07-09,1000,Juhel
2026-01-30,Inj Ciprofloxacin 1g,Drops/Topicals,44,154,2027-11-08,142,GSK
2023-03-22,Susp Metronidazole 5mg,Antibiotics,1,166,2027-06-17,410,MegaCare
2025-01-15,Gutt Losartan 100mg,Anti-Hypertensive,32,185,2025-12-26,414,GSK
2023-11-28,Tab Artemether/Lumefantrine 1g,Anti-Malaria,44,193,2028-04-06,362,Fidson
2025-01-29,Gutt Nifedipine 100mg,Anti-Hypertensive,12,200,2027-01-21,387,Emzor
2023-03-09,Inf Pentazocine 50mg,Analgesics,24,131,2027-01-05,839,GSK
2023-09-23,Ear Drops Esomeprazole 5ml/125mg,Anti-Ulcer,1,175,2028-04-20,274,Swiss Pharma
2024-04-29,Gutt Adrenaline 5ml/125mg,Specialty/Emergency,25,120,2027-12-25,330,Fidson
2025-12-16,Gutt Silver Sulphadiazine 100mg,Drops/Topicals,22,136,2028-09-14,490,Juhel
2023-12-03,Inh Gentamicin 1g,Drops/Topicals,15,194,2027-05-20,956,GSK
2025-06-15,Giving Set (10ml),Surgicals,28,148,2026-08-06,772,Emzor
2024-03-31,Tab Magnesium Trisilicate 10mg,Anti-Ulcer,24,106,2026-10-13,513,Swiss Pharma
2024-09-08,Susp Normal Saline 1g,IV Fluids,14,175,2028-02-18,433,Swiss Pharma
2024-06-27,Ear Drops Morphine 5ml/250mg,Analgesics,33,159,2026-11-27,494,Swiss Pharma
2023-03-19,Syrup Quinine 5ml/125mg,Anti-Malaria,4,136,2027-03-30,501,Fidson
2025-01-26,Susp Amoxicillin 1g,Antibiotics,3,190,2026-03-09,296,GSK
2024-08-09,Gutt Ibuprofen 50mg,Analgesics,20,177,2027-12-12,615,GSK
2024-12-03,Susp Propofol 500mg,Specialty/Emergency,12,38,2027-09-09,758,GSK
2023-08-07,Inf Metformin 5mg,Anti-Diabetic,14,168,2026-08-27,900,GSK
2024-01-11,Susp Pentazocine 5mg,Analgesics,48,189,2028-05-03,931,Fidson
2024-06-06,Susp Esomeprazole 5ml/125mg,Anti-Ulcer,13,151,2027-07-12,712,Swiss Pharma
2025-07-16,Syrup Artemether/Lumefantrine 20mg,Anti-Malaria,50,138,2027-01-03,913,Emzor
2024-11-08,Inf Sulfadoxine/Pyrimethamine 5mg,Anti-Malaria,4,131,2027-05-25,981,Fidson
2026-01-10,Oin Gentamicin 5mg,Drops/Topicals,7,34,2026-06-20,776,Swiss Pharma
2023-04-04,Oin Dextrose Saline 500mg,IV Fluids,23,155,2028-05-14,375,Juhel
2025-01-31,Oin Normal Saline 0.5%,IV Fluids,2,130,2028-09-18,328,Emzor
2024-04-01,Cotton Wool (Roll),Surgicals,6,125,2027-10-28,610,MegaCare
2025-07-13,Cap Tramadol 2g,Analgesics,38,105,2028-06-07,886,GSK
2024-10-02,Oin Morphine 100mg,Analgesics,41,43,2028-11-09,954,GSK
2023-09-06,Cap Hydralazine 5mg,Anti-Hypertensive,27,104,2027-05-30,381,GSK
2024-12-27,Ear Drops Adrenaline 50mg,Specialty/Emergency,6,125,2025-11-02,458,MegaCare
2026-03-21,Gutt Sulfadoxine/Pyrimethamine 5ml/250mg,Anti-Malaria,26,130,2027-02-10,163,Swiss Pharma
2024-04-25,Susp Morphine 1g,Analgesics,25,160,2027-01-19,618,Fidson
2023-06-17,Inh Normal Saline 0.5%,IV Fluids,5,159,2025-10-28,991,Fidson
2024-02-18,Susp Silver Sulphadiazine 20mg,Drops/Topicals,9,194,2026-10-06,493,Juhel
